Date,Open,High,Low,Close
09/08/2022,3959.94,4010.50,3944.81,4006.18
09/07/2022,3909.43,3987.89,3906.03,3979.87
09/06/2022,3930.89,3942.55,3886.75,3908.19
09/02/2022,3996.39,4018.43,3906.21,3924.26
09/01/2022,3936.73,3970.23,3903.65,3966.85
08/31/2022,4000.67,4015.37,3954.53,3955.00
08/30/2022,4041.25,4044.98,3965.21,3986.16
08/29/2022,4034.58,4062.99,4017.42,4030.61
08/26/2022,4198.74,4203.04,4057.66,4057.66
08/25/2022,4153.26,4200.54,4147.59,4199.12
08/24/2022,4126.55,4156.56,4119.97,4140.77
08/23/2022,4133.09,4159.77,4124.03,4128.73
08/22/2022,4195.08,4195.08,4129.86,4137.99
08/19/2022,4266.31,4266.31,4218.70,4228.48
08/18/2022,4273.13,4292.53,4261.98,4283.74
08/17/2022,4280.40,4302.18,4253.08,4274.04
08/16/2022,4290.46,4325.28,4277.77,4305.20
08/15/2022,4269.37,4301.79,4256.90,4297.14
08/12/2022,4225.02,4280.47,4219.78,4280.15
08/11/2022,4227.40,4257.91,4201.41,4207.27
08/10/2022,4181.02,4211.03,4177.26,4210.24
08/09/2022,4133.11,4137.30,4112.09,4122.47
08/08/2022,4155.93,4186.62,4128.97,4140.06
08/05/2022,4115.87,4151.58,4107.31,4145.19
08/04/2022,4154.85,4161.29,4135.42,4151.94
08/03/2022,4107.96,4167.66,4107.96,4155.17
08/02/2022,4104.21,4140.47,4079.81,4091.19
08/01/2022,4112.38,4144.95,4096.02,4118.63
07/29/2022,4087.33,4140.15,4079.22,4130.29
07/28/2022,4026.13,4078.95,3992.97,4072.43
07/27/2022,3951.43,4039.56,3951.43,4023.61
07/26/2022,3953.22,3953.22,3910.74,3921.05
07/25/2022,3965.72,3975.30,3943.46,3966.84
07/22/2022,3998.43,4012.44,3938.86,3961.63
07/21/2022,3955.47,3999.29,3927.64,3998.95
07/20/2022,3935.32,3974.13,3922.03,3959.90
07/19/2022,3860.73,3939.81,3860.73,3936.69
07/18/2022,3883.79,3902.44,3818.63,3830.85
07/15/2022,3818.00,3863.62,3817.18,3863.16
07/14/2022,3763.99,3796.41,3721.56,3790.38
07/13/2022,3779.67,3829.44,3759.07,3801.78
07/12/2022,3851.95,3873.41,3802.36,3818.80
07/11/2022,3880.94,3880.94,3847.22,3854.43
07/08/2022,3888.26,3918.50,3869.34,3899.38
07/07/2022,3858.85,3910.63,3858.85,3902.62
07/06/2022,3831.98,3870.91,3809.37,3845.08
07/05/2022,3792.61,3832.19,3742.06,3831.39
07/01/2022,3781.08,3829.82,3752.10,3825.33
06/30/2022,3785.99,3818.99,3738.67,3785.38
06/29/2022,3825.09,3836.50,3799.02,3818.83
06/28/2022,3913.00,3945.86,3820.14,3821.55
06/27/2022,3920.76,3927.72,3889.66,3900.11
06/24/2022,3821.75,3913.65,3821.75,3911.74
06/23/2022,3774.71,3802.58,3743.52,3795.73
06/22/2022,3733.89,3801.79,3717.69,3759.89
06/21/2022,3715.31,3779.65,3715.31,3764.79
06/17/2022,3665.90,3707.71,3636.87,3674.84
06/16/2022,3728.18,3728.18,3639.77,3666.77
06/15/2022,3764.05,3837.56,3722.30,3789.99
06/14/2022,3763.52,3778.18,3705.68,3735.48
06/13/2022,3838.15,3838.15,3734.30,3749.63
06/10/2022,3974.39,3974.39,3900.16,3900.86
06/09/2022,4101.65,4119.10,4017.17,4017.82
06/08/2022,4147.12,4160.14,4107.20,4115.77
06/07/2022,4096.47,4164.86,4080.19,4160.68
06/06/2022,4134.72,4168.78,4109.18,4121.43
06/03/2022,4137.57,4142.67,4098.67,4108.54
06/02/2022,4095.41,4177.51,4074.37,4176.82
06/01/2022,4149.78,4166.54,4073.85,4101.23
05/31/2022,4151.09,4168.34,4104.88,4132.15
05/27/2022,4077.25,4158.49,4077.43,4158.24
05/26/2022,3984.60,4075.14,3984.60,4057.84
05/25/2022,3929.59,3999.33,3925.03,3978.73
05/24/2022,3942.94,3955.68,3875.13,3941.48
05/23/2022,3919.42,3981.88,3909.04,3973.75
05/20/2022,3927.76,3943.42,3810.32,3901.36
05/19/2022,3899.00,3945.96,3876.58,3900.79
05/18/2022,4051.98,4051.98,3911.91,3923.68
05/17/2022,4052.00,4090.72,4033.93,4088.85
05/16/2022,4013.02,4046.46,3983.99,4008.01
05/13/2022,3963.90,4038.88,3963.90,4023.89
05/12/2022,3903.95,3964.80,3858.87,3930.08
05/11/2022,3990.08,4049.09,3928.82,3935.18
05/10/2022,4035.18,4068.82,3958.17,4001.05
05/09/2022,4081.27,4081.27,3975.48,3991.24
05/06/2022,4128.17,4157.69,4067.91,4123.34
05/05/2022,4270.43,4270.43,4106.01,4146.87
05/04/2022,4181.18,4307.66,4148.91,4300.17
05/03/2022,4159.78,4200.10,4147.08,4175.48
05/02/2022,4130.61,4169.81,4062.51,4155.38
